scheme_code,isin_growth,isin_div_reinv,scheme_name
148136,INF789F1AOC4,,UTI - Medium Term Fund (Segregated - 17022020) - Direct Plan - Growth Option
148147,INF789F1ANG7,,UTI - Credit Risk Fund (Segregated - 17022020) - Direct Plan - Growth Option
148161,INF663L01T84,,PGIM India Money Market Fund - Direct Plan - Growth Option
148413,,,JM Liquid Fund - Unclaimed Brokerage I.E.F. (Direct) - Growth Plan
148414,,,JM Liquid Fund - Unclaimed Application Refund Amount I.E.F. (Direct) - Growth Plan
148415,,,JM Liquid Fund - Withheld Brokerage I.E.F. (Direct) - Growth Plan
148419,INF769K01FY9,,Mirae Asset Banking and PSU Fund - Direct Plan - Growth
148534,INF00XX01861,,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option
148550,INF200KA1R64,,SBI Floating Rate Debt Fund - Direct Plan - Growth
148711,INF194KB1BA5,,BANDHAN FLOATER FUND  - DIRECT PLAN GROWTH
148755,INF769K01HD9,,Mirae Asset Corporate Bond Fund Direct Growth Plan
148771,INF740KA1PV1,,DSP Floater Fund - Direct Plan - Growth
148837,INF0GCD01271,INF0GCD01289,TRUSTMF Liquid Fund-Direct Plan-Weekly Income Distribution cum Capital Withdrawal
148839,INF0GCD01305,INF0GCD01297,TRUSTMF Liquid Fund-Direct Plan-Monthly Income Distribution cum Capital Withdrawal
148841,INF0GCD01255,,TRUSTMF Liquid Fund-Direct Plan-Growth
148842,,INF0GCD01263,TRUSTMF Liquid Fund-Direct Plan-Daily Income Distribution cum Capital Withdrawal
149007,INF277KA1026,,Tata Floating Rate Fund -Direct Plan-Growth
149011,INF205KA1429,,Invesco India Medium Duration Fund - Direct Plan - Growth
149029,INF00XX01BC4,,ITI Dynamic Bond Fund - Direct Plan - Growth Option
149049,INF846K014A6,,Axis Floater Fund - Direct Plan - Growth
149112,INF769K01HN8,,Mirae Asset Money Market Fund Direct Growth
149117,INF582M01HG5,,Union Money Market Fund - Direct Plan -  Growth Option
149361,INF277KA1224,,Tata Corporate Bond Fund-Direct Plan-Growth
149409,INF109KC17H6,,ICICI Prudential Overnight fund - Direct Plan - Unclaimed Redemption Stable Scheme
149410,INF109KC15H0,,ICICI Prudential Overnight fund - Direct Plan - Unclaimed Redemption Transitory Scheme
149523,,INF173K01FR8,Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Direct Plan - Daily Income Distribution CUM Capital Withdrawal Option
149524,INF903JA1KA2,INF173K01FW8,Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Direct Plan - Weekly Income Distribution CUM Capital Withdrawal Option
149526,INF173K01FS6,,Sundaram Low Duration Fund (Formerly Known as Principal Low Duration Fund) - Direct Plan - Growth Option
149663,,INF173K01GT2,Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund )- Direct Plan - Income Distribution CUM Capital Withdrawal Option - Daily
149664,INF173K01GU0,,Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) - Direct Plan - Growth Option
149665,,INF173K01GY2,Sundaram Liquid Fund(Formerly Known as Principal Cash Management Fund)- Direct Plan - Income Distribution CUM Capital Withdrawal Option - Weekly
149737,,INF903JA1JH9,Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) Direct Principal Units
149797,INF0GCD01453,,TRUST MF OVERNIGHT FUND-DIRECT PLAN-GROWTH
149826,INF192K01MK9,,JM Overnight Fund - (Direct) - Unclaimed Redemption I.E.F. - Growth Plan
149829,INF192K01MI3,,JM Overnight Fund - (Direct) - Unclaimed Redemption - Growth Plan
150169,INF251K01GJ7,,BARODA BNP PARIBAS LOW DURATION Fund - Direct Plan - Growth Option
150180,INF251K01GW0,,Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Growth Option
150237,INF251K01GP4,,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option
150369,INF0J8L01081,,NJ Overnight Fund - Direct Plan - Growth Option
150392,INF767K01RE0,,LIC MF Money Market Fund-Direct Plan-Growth
150407,INF582M01HW2,,Union Gilt Fund - Direct Plan - Growth Option
150410,INF789F1AVR7,,UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Growth Option
150484,INF209KB17J2,,Aditya Birla Sun Life Long Duration Fund-Direct Growth
150505,INF760K01KC4,,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option
150513,INF0GCD01503,,TRUSTMF MONEY MARKET FUND-DIRECT PLAN-GROWTH
150562,INF680P01323,,Shriram Overnight Fund -  Direct Growth
150631,INF0K1H01040,,Samco Overnight Fund - Direct Plan - Growth Option
150996,INF917K01HN3,,HSBC Corporate Bond Fund - Direct Growth
151014,INF917K01FI7,,HSBC Gilt Fund - Direct Growth
151045,INF917K01UH8,,HSBC Credit Risk Fund - Direct Growth
151054,INF917K01FE6,,HSBC Money Market Fund - Direct Growth
151067,INF917K01IQ4,,HSBC Short Duration Fund - Direct Growth
151087,INF917K01HA0,,HSBC Dynamic Bond Fund - Direct Growth
151107,INF917K01HH5,,HSBC Banking and PSU Debt Fund - Direct Growth
151117,INF917K01GM7,,HSBC Low Duration Fund - Direct Growth
151146,INF917K01TK4,,HSBC Medium Duration Fund - Direct Growth
151179,INF846K014L3,,Axis Long Duration Fund - Direct Plan - Growth
151190,INF966L01AZ7,,quant Overnight Fund - Growth Option - Direct Plan
151214,INF200KA16T4,,SBI Long Duration Fund - Direct Plan - Growth
151228,INF966L01BF7,,quant Gilt Fund - Growth Option - Direct Plan
151313,INF179KC1ET7,,HDFC Long Duration Debt Fund - Growth Option - Direct Plan
151320,INF0GCD01560,,TRUSTMF CORPORATE BOND FUND-DIRECT PLAN-GROWTH
151523,INF789F1AYB5,,UTI Long Duration Fund - Direct Plan - Growth Option
151833,INF0QA701011,,Bajaj Finserv Liquid Fund - Direct Plan - Growth
151849,INF0QA701177,,Bajaj Finserv Overnight Fund - Direct Plan - Growth
151889,INF0QA701334,,Bajaj Finserv Money Market Fund-Direct Plan-Growth
152152,INF0R8701079,,Helios Overnight Fund - Direct Plan - Growth Option
152162,INF0QA701607,,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth
152491,INF174KA1RF5,,Kotak Long Duration Fund - Direct Plan - Growth
152520,INF194KB1HY2,,Bandhan Long Duration Fund - Direct Plan - Growth
152851,INF090I01XG4,,Franklin India Medium to Long Duration Fund - Direct Growth
153035,INF680P01430,,Shriram Liquid Fund - Direct Plan Growth Option
153102,INF090I01XY7,,Franklin India Long Duration Fund - Direct - Growth
153105,INF769K01NC9,,Mirae Asset Long Duration Fund - Direct Plan - Growth
153206,INF0QA701AP9,,Bajaj Finserv Gilt Fund - Direct - Growth
153294,INF761K01GO5,,Bank of India Money Market Fund - Direct - Growth
153368,INF090I01YE7,,Franklin India Low Duration Fund-Direct-Growth
153416,INF754K01UP8,,Edelweiss Low Duration Fund - Direct Plan Growth
153436,INF0R8F01075,,Zerodha Overnight Fund - Direct Plan - Growth Option
153438,INF0QA701AF0,,Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years Redemption Plan
153477,INF666M01KK2,,Groww Gilt Fund - Direct - Growth
153570,INF1MIY01056,,Unifi Liquid Fund- Direct Growth
153585,INF174KA1WL3,INF174KA1WJ7,Kotak Liquid Fund - Direct Plan - Weekly - Reinvestment & Payout of Income Distribution cum capital withdrawal option
153649,INF22M001028,,JioBlackRock Money Market Fund - Direct Plan - Growth Option
153650,INF22M001036,,JioBlackRock Overnight Fund - Direct Plan - Growth Option
153651,INF22M001010,,JioBlackRock Liquid Fund - Direct Plan - Growth Option
153654,INF582M01LQ6,,Union Low Duration Fund - Direct Plan - Growth Option
153703,INF579M01BG4,,360 ONE Overnight Fund - Direct Plan - Growth
153883,INF2F0001081,,THE WEALTH COMPANY LIQUID FUND DIRECT GROWTH
153887,,INF2F0001073,THE WEALTH COMPANY LIQUID FUND DIRECT DAILY ICDW
153889,INF2F0001123,INF2F0001115,THE WEALTH COMPANY LIQUID FUND DIRECT WEEKLY
153982,INF666M01MW3,,Groww Money Market Fund Direct Growth
154011,INF226401034,,Capitalmind Liquid Fund - Direct-Growth
154051,INF2JJD01029,,Abakkus Liquid Fund - Direct Plan - Growth
154081,INF22M001150,,JioBlackRock Low Duration Fund - Direct Plan - Growth Option
154144,INF680P01471,,Shriram Money Market Fund - Direct Plan Growth Option
154204,INF0QA701CF6,,Bajaj Finserv Low Duration Fund - Direct - Growth
